SITE_ID,SJV_REGION,EQ_AREA_CELL,LAT_DD,LONG_DD,COUNTY,SAMPLE_DATE,TDS,TDS_TYPE,CONDUCTIVITY,CA,MG,NA,K,CL,SO4,NO3-N,SIO2,HCO3,WELL_DEPTH_M,DTW_M,DTW_SOURCE,DBWT_M,TRIT_DATE,TRIT_2016_TU,TRIT_CAT,PCT_AG,PCT_NAT,PCT_URB,TDS_ION_MOD
370400120100001,NESJV-D,24,37.06877778,-120.18225,MADERA,11/18/2013,263,LAB,na,34.66,10.34,24.08,2.15,30.09,5.92,7.16,56.88,132.66,91.44,31,MODEL,60.44,11/18/2013,0.378,Mod,na,na,na,ION
380216121154002,NESJV-D,4,38.038,-121.26125,SAN JOAQUIN,8/21/2007,263,LAB,na,33.15,16.82,14.67,4.44,9.84,20.68,0.96,61.12,183.65,88.39,23.58,MEASURED,64.81,8/21/2007,1.128,Mod,na,na,na,ION
370700120030001,NESJV-D,24,37.132472,-120.061917,MADERA,4/21/2008,264,LAB,na,27.78,8.51,23.61,2.19,13.35,24.33,4.07,69.91,122.36,na,na,na,na,4/21/2008,0.266,Mod,na,na,na,ION
374137121012501,NESJV-D,1,37.693667,-121.023611,STANISLAUS,10/16/2002,265,LAB,na,31.78,10.21,26.4,5.98,12.09,12.53,5.38,65.75,145.69,92.35,15.85,MEASURED,76.5,na,na,na,na,na,na,ION
371829120300801,NESJV-D,17,37.305861,-120.503583,MERCED,4/11/2006,268,LAB,na,35.24,15.77,20.67,4.4,7.88,11.6,2.65,65.69,196.56,89.61,5.5,MODEL,84.11,4/11/2006,2.72,Mod,na,na,na,ION_MOD
370000120120001,NESJV-D,23,37.00438889,-120.2041111,MADERA,12/5/2013,269,LAB,na,28.96,10.75,24.44,3.75,10.05,7.81,8.83,73.57,142.04,128.02,17.11,MODEL,110.91,12/5/2013,4.218,Mod,na,na,na,ION
370500120250001,NESJV-D,19,37.09152778,-120.4229722,MADERA,12/12/2013,271,LAB,na,49,9.27,14.14,3.17,22.35,6.64,3.38,67.65,157.53,91.44,14.61,MODEL,76.83,12/12/2013,2.603,Mod,na,na,na,ION
374115120591701,NESJV-D,8,37.687722,-120.988056,STANISLAUS,10/27/2004,276,LAB,na,38.37,10.85,21.59,5.67,8.59,22.49,5.58,61.01,161.64,63.4,11.91,MEASURED,51.49,10/27/2004,1.347,Mod,na,na,na,ION
380606121164501,NESJV-D,5,38.10113889,-121.28025,SAN JOAQUIN,1/14/2014,278,LAB,na,36.32,15.47,22.26,7.66,17.4,16.58,3.69,59.69,192.92,120.4,21.92,MEASURED,98.48,1/14/2014,1.881,Mod,na,na,na,ION_MOD
381200120490001,NESJV-D,6,38.20505556,-120.8275,CALAVERAS,1/15/2014,279,LAB,na,22.2,21.13,38.74,3.08,24.17,20.82,2.41,50.77,205.84,94.49,40.06,MODEL,54.42,1/15/2014,0.489,Mod,na,na,na,ION
364900120100001,NESJV-D,21,36.8185,-120.173556,MADERA,5/14/2008,280,LAB,na,35.44,8.67,43.51,2.2,19.39,28.49,1.16,68.6,191.19,146.3,11.89,MODEL,134.41,5/14/2008,5.545,Mod,na,na,na,ION
371928120263302,NESJV-D,17,37.324583,-120.444083,MERCED,4/10/2006,284,LAB,na,33.44,16.08,21.24,3.87,8.25,10.6,5.85,67.88,175.73,75.9,5.24,MODEL,70.65,4/10/2006,3.01,Mod,na,na,na,ION
370700120040001,NESJV-D,24,37.12575,-120.075778,MADERA,4/9/2014,293,LAB,na,38.43,8.15,31.97,3.02,14.96,47.1,0.04,66.5,152.84,103.63,42.68,MODEL,60.95,4/9/2014,0.048,PreMod,na,na,na,ION
374800121110001,NESJV-D,2,37.81436111,-121.1905833,SAN JOAQUIN,1/4/2005,294,CALC,444,na,na,na,na,na,na,na,na,na,106.68,4.39,MODEL,102.29,1/4/2005,2.06,Mod,na,na,na,TDS
